subject,block,trial,mu1,mu2,choice,reward,RT
1,1,1,0,0,1,-1,1816
1,1,2,0,0,1,0,587
1,1,3,0,0,1,2,519
1,1,4,0,0,1,-1,671
1,1,5,0,0,1,1,599
1,1,6,0,0,1,-1,670
1,1,7,0,0,1,-1,587
1,1,8,0,0,1,-1,519
1,1,9,0,0,1,1,519
1,1,10,0,0,1,1,743
1,2,1,-1,0,1,-1,815
1,2,2,-1,0,1,-1,608
1,2,3,-1,0,1,-2,423
1,2,4,-1,0,1,0,574
1,2,5,-1,0,1,-1,479
1,2,6,-1,0,2,0,101
1,2,7,-1,0,2,0,511
1,2,8,-1,0,2,0,539
1,2,9,-1,0,2,0,407
1,2,10,-1,0,2,0,365
1,3,1,-1,0,1,-2,663
1,3,2,-1,0,1,-1,513
1,3,3,-1,0,2,0,368
1,3,4,-1,0,2,0,607
1,3,5,-1,0,2,0,343
1,3,6,-1,0,1,-4,400
1,3,7,-1,0,2,0,391
1,3,8,-1,0,2,0,471
1,3,9,-1,0,2,0,287
1,3,10,-1,0,2,0,311
1,4,1,1,0,1,2,644
1,4,2,1,0,1,0,351
1,4,3,1,0,1,2,416
1,4,4,1,0,1,1,359
1,4,5,1,0,1,2,448
1,4,6,1,0,1,-1,320
1,4,7,1,0,1,0,367
1,4,8,1,0,1,2,367
1,4,9,1,0,1,1,348
1,4,10,1,0,1,0,384
1,5,1,1,0,1,0,750
1,5,2,1,0,1,1,343
1,5,3,1,0,1,1,303
1,5,4,1,0,1,0,295
1,5,5,1,0,1,2,304
1,5,6,1,0,1,1,333
1,5,7,1,0,1,2,327
1,5,8,1,0,1,1,375
1,5,9,1,0,1,2,375
1,5,10,1,0,1,1,360
1,6,1,2,0,1,3,527
1,6,2,2,0,1,2,320
1,6,3,2,0,1,0,344
1,6,4,2,0,1,2,336
1,6,5,2,0,1,2,398
1,6,6,2,0,1,2,366
1,6,7,2,0,1,1,443
1,6,8,2,0,1,3,368
1,6,9,2,0,1,2,319
1,6,10,2,0,1,1,342
1,7,1,-1,0,1,-1,512
1,7,2,-1,0,1,-3,967
1,7,3,-1,0,2,0,271
1,7,4,-1,0,2,0,263
1,7,5,-1,0,2,0,293
1,7,6,-1,0,2,0,286
1,7,7,-1,0,2,0,310
1,7,8,-1,0,2,0,320
1,7,9,-1,0,2,0,319
1,7,10,-1,0,2,0,375
1,8,1,0,0,1,0,605
1,8,2,0,0,1,-1,344
1,8,3,0,0,2,0,615
