subject,block,trial,mu1,mu2,choice,reward,RT
1,18,10,-6,-4,2,-2,327
1,19,1,2,18,2,18,484
1,19,2,2,18,1,1,359
1,19,3,2,18,2,18,343
1,19,4,2,18,2,18,311
1,19,5,2,18,2,17,343
1,19,6,2,18,2,18,351
1,19,7,2,18,2,18,359
1,19,8,2,18,2,18,351
1,19,9,2,18,2,18,367
1,19,10,2,18,2,19,360
1,20,1,3,3,2,4,553
1,20,2,3,3,1,1,487
1,20,3,3,3,2,3,375
1,20,4,3,3,2,3,343
1,20,5,3,3,2,5,350
1,20,6,3,3,2,4,327
1,20,7,3,3,2,2,335
1,20,8,3,3,2,4,439
1,20,9,3,3,2,3,375
1,20,10,3,3,2,4,357
2,1,1,-2,-7,1,-3,1309
2,1,2,-2,-7,2,-8,698
2,1,3,-2,-7,1,-3,606
2,1,4,-2,-7,2,-7,507
2,1,5,-2,-7,1,-2,492
2,1,6,-2,-7,1,-2,469
2,1,7,-2,-7,1,-1,375
2,1,8,-2,-7,1,-3,358
2,1,9,-2,-7,2,-7,367
2,1,10,-2,-7,1,-2,329
2,2,1,8,8,2,8,901
2,2,2,8,8,1,7,520
2,2,3,8,8,2,9,390
2,2,4,8,8,2,8,496
2,2,5,8,8,2,6,383
2,2,6,8,8,2,8,369
2,2,7,8,8,2,9,383
2,2,8,8,8,2,7,376
2,2,9,8,8,2,9,557
2,2,10,8,8,2,8,366
2,3,1,11,-5,2,-5,1284
2,3,2,11,-5,1,11,438
2,3,3,11,-5,1,11,445
2,3,4,11,-5,1,11,535
2,3,5,11,-5,1,11,689
2,3,6,11,-5,1,11,566
2,3,7,11,-5,1,13,538
2,3,8,11,-5,1,13,543
2,3,9,11,-5,1,10,509
2,3,10,11,-5,1,11,600
2,4,1,-5,6,2,6,1517
2,4,2,-5,6,1,-5,539
2,4,3,-5,6,2,8,412
2,4,4,-5,6,2,6,514
2,4,5,-5,6,2,6,466
2,4,6,-5,6,2,6,448
2,4,7,-5,6,2,7,430
2,4,8,-5,6,2,6,454
2,4,9,-5,6,2,5,412
2,4,10,-5,6,2,4,412
2,5,1,-3,16,2,15,850
2,5,2,-3,16,1,-2,505
2,5,3,-3,16,2,15,349
2,5,4,-3,16,2,15,399
2,5,5,-3,16,2,16,342
2,5,6,-3,16,2,17,335
2,5,7,-3,16,2,17,484
2,5,8,-3,16,2,17,595
2,5,9,-3,16,2,16,818
2,5,10,-3,16,2,16,1322
2,6,1,-15,6,2,6,2294
2,6,2,-15,6,1,-15,504
2,6,3,-15,6,2,6,343
2,6,4,-15,6,2,8,313
2,6,5,-15,6,2,6,340
2,6,6,-15,6,2,6,404
2,6,7,-15,6,2,5,353
2,6,8,-15,6,2,7,350
2,6,9,-15,6,2,6,377
2,6,10,-15,6,2,7,349
2,7,1,-1,8,2,7,625
2,7,2,-1,8,1,-2,715
2,7,3,-1,8,2,8,415
2,7,4,-1,8,2,8,336
2,7,5,-1,8,2,9,319
2,7,6,-1,8,2,8,304
2,7,7,-1,8,2,7,451
2,7,8,-1,8,2,10,341
2,7,9,-1,8,2,8,364
2,7,10,-1,8,2,9,404
2,8,1,5,-14,2,-14,1108
2,8,2,5,-14,1,4,382
2,8,3,5,-14,1,4,350
2,8,4,5,-14,1,4,304
2,8,5,5,-14,1,5,365
2,8,6,5,-14,1,5,405
2,8,7,5,-14,1,4,439
2,8,8,5,-14,1,7,647
2,8,9,5,-14,1,6,1016
2,8,10,5,-14,1,5,498
2,9,1,15,0,1,14,562
2,9,2,15,0,1,13,391
2,9,3,15,0,1,14,488
2,9,4,15,0,1,14,306
2,9,5,15,0,1,15,359
2,9,6,15,0,1,17,567
2,9,7,15,0,1,16,491
2,9,8,15,0,1,14,388
2,9,9,15,0,1,16,427
2,9,10,15,0,1,16,799
2,10,1,12,6,2,6,1019
2,10,2,12,6,1,14,356
2,10,3,12,6,1,13,356
2,10,4,12,6,1,10,429
2,10,5,12,6,1,12,332
2,10,6,12,6,1,12,312
2,10,7,12,6,1,13,338
2,10,8,12,6,1,13,398
2,10,9,12,6,1,11,412
2,10,10,12,6,1,13,426
2,11,1,6,5,1,6,624
2,11,2,6,5,2,4,351
2,11,3,6,5,1,6,413
2,11,4,6,5,2,5,349
2,11,5,6,5,2,6,374
2,11,6,6,5,2,5,335
2,11,7,6,5,1,5,333
2,11,8,6,5,1,7,423
2,11,9,6,5,1,6,358
2,11,10,6,5,1,6,350
2,12,1,-7,-4,1,-7,852
2,12,2,-7,-4,2,-3,382
2,12,3,-7,-4,2,-3,367
2,12,4,-7,-4,1,-6,438
2,12,5,-7,-4,2,-4,377
2,12,6,-7,-4,2,-6,399
2,12,7,-7,-4,1,-5,398
2,12,8,-7,-4,2,-3,344
2,12,9,-7,-4,2,-4,374
2,12,10,-7,-4,2,-4,405
2,13,1,12,2,2,0,586
2,13,2,12,2,1,13,434
2,13,3,12,2,1,13,423
2,13,4,12,2,1,11,382
2,13,5,12,2,1,12,353
2,13,6,12,2,1,12,383
2,13,7,12,2,1,11,390
2,13,8,12,2,1,11,517
